mean,std,min,max,missing_ratio,negative_ratio,flatline_ratio,saturation_ratio,spike_ratio,physiological_ratio,record,window,start_min,end_min,status,failure_reason
0.33233412854443584,0.19681332571095736,-0.08742586559803117,1.1037515531751434,0.0,0.015066666666666667,0.025466666666666665,0.0,0.0,0.0,charis4,10,45.0,50.0,FAIL,Out of physiological range
0.3841925338438397,0.17094411833479495,-0.1616051116939945,1.3052720559899555,0.0,0.0007333333333333333,0.04306666666666667,0.0,0.0,0.0,charis5,1,0.0,5.0,FAIL,Out of physiological range
0.390767790029379,0.16479051113238116,-0.13674278681799534,1.354996705741954,0.0,0.0008666666666666666,0.0412,0.0,0.0,0.0,charis5,2,5.0,10.0,FAIL,Out of physiological range
0.39217168264071045,0.1612937842472563,-0.13674278681799534,1.2804097311139564,0.0,0.0004,0.03793333333333333,0.0,0.0,0.0,charis5,3,10.0,15.0,FAIL,Out of physiological range
0.40803633214408547,0.17357282114651554,-0.09944929950399663,1.4295836803699515,0.0,0.0006,0.04066666666666666,0.0,0.0,0.0,charis5,4,15.0,20.0,FAIL,Out of physiological range
0.41096345652615307,0.1717785312489305,-0.14917394925599492,1.3798590306179532,0.0,0.0003333333333333333,0.0386,0.0,0.0,0.0,charis5,5,20.0,25.0,FAIL,Out of physiological range
0.407813399964364,0.16729647332702932,-0.13674278681799534,1.354996705741954,0.0,0.0006,0.03846666666666667,0.0,0.0,0.0,charis5,6,25.0,30.0,FAIL,Out of physiological range
0.41610995777548493,0.17041158035072396,-0.14917394925599492,1.3798590306179532,0.0,0.0008,0.03626666666666667,0.0,0.0,0.0,charis5,7,30.0,35.0,FAIL,Out of physiological range
0.41391461448893424,0.16695740792536984,-0.14917394925599492,1.3177032184279551,0.0,0.0005333333333333334,0.0366,0.0,0.0,0.0,charis5,8,35.0,40.0,FAIL,Out of physiological range
0.41494557222712564,0.16704676670293925,-0.1616051116939945,1.354996705741954,0.0,0.0004,0.0334,0.0,0.0,0.0,charis5,9,40.0,45.0,FAIL,Out of physiological range
0.4182655213422341,0.16372729493313407,-0.06215581218999789,1.3922901930559528,0.0,0.0002,0.0328,0.0,0.0,0.0,charis5,10,45.0,50.0,FAIL,Out of physiological range
88.915223992159,23.61714292579641,61.04546169646557,161.510116263353,0.0,0.0,0.0005333333333333334,0.0,0.0,1.0,charis6,1,0.0,5.0,PASS,All criteria met
89.38507610186504,23.57684228143776,59.97079567385992,162.8839161273025,0.0,0.0,0.0012666666666666666,0.0,0.0,1.0,charis6,2,5.0,10.0,PASS,All criteria met
83.15984973879338,23.544584003600622,51.805549708289114,162.91715322078517,0.0,0.0,0.0009333333333333333,0.0,0.0,1.0,charis6,3,10.0,15.0,PASS,All criteria met
89.4467523297356,23.55855410987772,59.051236087506624,165.86417550958004,0.0,0.0,0.0008,0.0,0.0,1.0,charis6,4,15.0,20.0,PASS,All criteria met
89.95004243268936,23.773504794516253,61.832072908888264,166.5399964103939,0.0,0.0,0.0016666666666666668,0.0,0.0,1.0,charis6,5,20.0,25.0,PASS,All criteria met
88.49019838113198,23.81897768553954,58.49728452946247,164.54577080143497,0.0,0.0,0.0013333333333333333,0.0,0.0,1.0,charis6,6,25.0,30.0,PASS,All criteria met
88.62884433148758,23.74002673528934,59.13986833679369,165.59827876171886,0.0,0.0,0.0006,0.0,0.0,1.0,charis6,7,30.0,35.0,PASS,All criteria met
88.99308668455562,23.886369419058937,60.735248823960845,164.7230353000091,0.0,0.0,0.0015333333333333334,0.0,0.0,1.0,charis6,8,35.0,40.0,PASS,All criteria met
88.10249581027972,23.79153963322747,60.76848591744349,162.93931128310692,0.0,0.0,0.0011333333333333334,0.0,0.0,1.0,charis6,9,40.0,45.0,PASS,All criteria met
87.29012363460174,23.825775482319102,59.90432148689462,163.55973702811636,0.0,0.0,0.0010666666666666667,0.0,0.0,1.0,charis6,10,45.0,50.0,PASS,All criteria met
91.23569379222148,15.347458020317848,68.47199212765162,127.32776123864923,0.0,0.0,0.002266666666666667,0.0,0.0,1.0,charis7,1,0.0,5.0,PASS,All criteria met
90.25634625046192,15.671241556725011,65.1586303110325,129.80655447739812,0.0,0.0,0.0023333333333333335,0.0,0.0,1.0,charis7,2,5.0,10.0,PASS,All criteria met
90.58648248028798,15.83730880770511,67.16408614740723,130.14287315803242,0.0,0.0,0.0023333333333333335,0.0,0.0,1.0,charis7,3,10.0,15.0,PASS,All criteria met
89.7399185361418,15.609584799104736,68.5965546019606,125.68353657777057,0.0,0.0,0.0016,0.0,0.0,1.0,charis7,4,15.0,20.0,PASS,All criteria met
88.11614537271169,15.66288994288389,66.3544300643988,124.48773682440427,0.0,0.0,0.0019333333333333333,0.0,0.0,1.0,charis7,5,20.0,25.0,PASS,All criteria met
